City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
42,nemuro,43.3236,145.575,12.95,94,100,2.1,JP,1689532009
43,san patricio,28.017,-97.5169,37.87,31,17,5.25,US,1689532010
44,hermanus,-34.4187,19.2345,12.67,87,96,3.93,ZA,1689532010
45,hadibu,12.65,54.0333,25.76,77,49,8.08,YE,1689532011
46,saudarkrokur,65.7461,-19.6394,8.19,77,60,6.65,IS,1689532011
47,avarua,-21.2078,-159.775,22.03,68,100,1.54,CK,1689532012
48,masterton,-40.9597,175.6575,5.04,95,55,1.39,NZ,1689532012
49,lerwick,60.1545,-1.1494,14.0,86,92,5.09,GB,1689532012
50,west island,-12.1568,96.8225,24.99,73,100,6.69,CC,1689532013
51,talnakh,69.4865,88.3972,5.67,90,100,1.43,RU,1689532014
52,puerto ayora,-0.7393,-90.3518,29.98,91,69,3.58,EC,1689532014
53,as sulayyil,20.4607,45.5779,38.14,9,27,4.17,SA,1689532015
54,wailua homesteads,22.0669,-159.378,25.44,81,75,7.2,US,1689532015
55,bethel,41.3712,-73.414,25.47,89,100,1.34,US,1689532016
56,lakatoro,-16.0999,167.4164,24.33,83,75,9.44,VU,1689532016
57,westport,41.1415,-73.3579,26.65,91,100,2.06,US,1689532017
58,aykhal,66.0,111.5,9.66,57,100,3.49,RU,1689532017
59,mancio lima,-7.6142,-72.8958,25.04,78,75,2.06,BR,1689532017
60,yellowknife,62.456,-114.3525,21.29,52,100,6.17,CA,1689532018
61,mil'kovo,55.6078,37.7956,20.27,68,75,2.13,RU,1689532018
62,gobabis,-22.45,18.9667,14.32,29,0,5.15,NA,1689532019
63,plaza huincul,-38.926,-69.2086,6.75,10,8,0.89,AR,1689532019
64,verkhniy mamon,50.1635,40.3832,16.86,80,47,3.53,RU,1689532020
65,college,64.8569,-147.8028,18.1,75,100,1.54,US,1689532020
66,korla,41.7597,86.1469,33.13,17,2,4.51,CN,1689532021
67,klyuchi,52.2667,79.1667,16.27,76,60,3.75,RU,1689532022
68,hawaiian paradise park,19.5933,-154.9731,24.46,92,75,2.57,US,1689532022
69,opuwo,-18.0607,13.84,20.34,25,0,4.71,NA,1689532023
70,port mathurin,-19.6833,63.4167,23.22,77,1,12.47,MU,1689532023
71,ubari,26.5921,12.7805,34.12,13,63,3.79,LY,1689532024
72,swakopmund,-22.6833,14.5333,22.47,75,0,1.34,NA,1689532024
73,georgetown,5.4112,100.3354,27.96,82,20,0.51,MY,1689531839
74,darwin,-12.4611,130.8418,24.99,88,75,1.54,AU,1689532025
75,newberry,34.2746,-81.6187,33.59,38,40,2.2,US,1689532025
76,pont rouge,48.8833,-72.0825,20.16,98,100,2.52,CA,1689532026
77,jamestown,42.097,-79.2353,27.79,62,75,4.12,US,1689531940
78,vuktyl,63.8567,57.3094,18.12,57,82,1.93,RU,1689532027
79,rio grande,-32.035,-52.0986,16.06,59,7,5.92,BR,1689532027
80,st. john's,47.5649,-52.7093,26.27,66,75,7.2,CA,1689532022
81,stanley,54.868,-1.6985,17.16,67,20,8.23,GB,1689532028
82,kapa'a,22.0752,-159.319,26.18,80,75,7.2,US,1689532028
83,aginskoye,51.1,114.53,17.69,64,2,1.24,RU,1689532029
84,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,100,75,0.0,RU,1689532029
85,bredasdorp,-34.5322,20.0403,14.0,80,95,2.68,ZA,1689532030
86,hammerfest,70.6634,23.6821,19.25,55,0,7.2,NO,1689532031
87,dunkwa,5.9656,-1.78,24.07,96,98,0.86,GH,1689532031
88,whitehorse,60.7161,-135.0538,21.17,43,20,6.17,CA,1689531742
89,idri,27.5,13.2667,35.35,12,20,5.7,LY,1689532033
90,isafjordur,66.0755,-23.124,10.02,71,0,6.69,IS,1689532033
91,ta`u,-14.2336,-169.5144,26.24,81,96,7.63,AS,1689532033
92,blackmans bay,-43.0167,147.3167,12.07,63,29,5.88,AU,1689532034
93,ayr,55.4627,-4.6339,15.99,72,75,7.72,GB,1689532034
94,ushuaia,-54.8,-68.3,4.81,65,40,1.03,AR,1689532035
95,ribeira brava,32.65,-17.0667,23.96,45,63,2.77,PT,1689532035
96,mount pearl,47.5166,-52.7813,25.81,66,75,7.2,CA,1689532036
97,remire-montjoly,4.9167,-52.2667,27.02,83,20,3.09,GF,1689532036
98,wanning,18.8003,110.3967,25.16,93,100,3.1,CN,1689532037
99,tanumah,27.1,44.1333,36.04,8,0,4.14,SA,1689532038
100,mendoza,-32.8908,-68.8272,10.74,24,75,4.12,AR,1689531931
101,chonchi,-42.6128,-73.8092,8.4,62,4,1.92,CL,1689532039
102,ribeira grande,38.5167,-28.7,22.22,64,40,5.14,PT,1689532039
103,belmonte,-15.8631,-38.8828,23.56,86,46,3.86,BR,1689532040
104,sinop,41.7711,34.8709,16.6,91,10,0.9,TR,1689532040
105,papatowai,-46.5619,169.4708,9.28,80,64,6.95,NZ,1689532041
106,afaahiti,-17.75,-149.2833,23.93,64,0,2.27,PF,1689532041
107,kailua-kona,19.6406,-155.9956,26.24,79,40,3.09,US,1689532042
108,papao,-17.75,-149.55,24.82,64,3,0.57,PF,1689532043
109,carnarvon,-24.8667,113.6333,15.95,56,0,5.61,AU,1689532043
110,severo-yeniseyskiy,60.3725,93.0408,10.79,99,91,0.97,RU,1689532044
